TC =  0
   0    0    0 
  -2   54  -34 
   0    0    0 
 -13  -23   76 
   0    0    0 
 -31   33  -70 
-121   48   12 
 -48  -39  -23 
   0    0    0 
 -32  -46   35 
 -36   16    1 
 -12  -48  123 
   0    0    0 
 -26   45   21 
  -6  -80   76 
  45   87   -5 
   0    0    0 
  41  -74   24 
   0    0    0 
  69   47  -64 
   0    0    0 
   8  -49   -8 
 -24  -84   75 
  -1  -61   99 
   0    0    0 
   3   -9   38 
 -54  -45   14 
 -31   56   77 
   0    0    0 
  37  -37  -53 
  55   64  -42 
  -4  -24   -6 
   0    0    0 
 -25  -46    1 
   0    0    0 
 -29  -52  -37 
   0    0    0 
  87  -59  -90 
  32    7    0 
  41   31   56 
   0    0    0 
  33    9   25 
-112   71   26 
  72  -64   -7 
   0    0    0 
  17  -26   35 
  36  -88  -55 
  40  -31   -5 
   0    0    0 
 -86  -15  -97 
   0    0  -60 
 -50   61   11 
   0    0    0 
  67  -89   91 
   4  -55   87 
 -55  123  -73 
   0    0    0 
  -8   18   24 
  38   93  -51 
  33   64  -25 
   0    0    0 
  -7  102  -48 
 -65  -11  -38 
 -49  -63    0 
====================
TC =  1
   0    0    0 
 -72  -42   54 
  69  -75   83 
 -30   23   91 
   0    0    0 
  94   28   23 
 -70  -49  -13 
 -41  -29  -33 
   0    0    0 
  -2    1  -24 
  84   24   -7 
 -17   11   60 
  17   27   75 
  -5  -39  -67 
 -13   17   46 
  20   -5  -36 
   0    0    0 
  97  -91  -85 
  81   66  -65 
  87   22   26 
   0    0    0 
   5   51   46 
  -2   68  -50 
   6   48  -13 
   0    0    0 
 -39   52   14 
  27  -10   49 
   8  -27  -10 
 -75   36   22 
 -66  -41  -70 
 -32  -62   98 
  66  -66   59 
   0    0    0 
 116  -19  -88 
  36   -9  -80 
 -36   -1   -3 
   0    0    0 
  32   13    0 
  29  -85 -111 
 -70  -29  -32 
   0    0    0 
  52   23  101 
 -82   35   53 
  21  -14   -5 
 -85   33  -78 
  48  -39   75 
  27   39   15 
 -10  -73   91 
   0    0    0 
  -8  111   69 
  21  -85  -68 
-104   89   45 
   0    0   36 
 -65   61  -70 
  89  -29   10 
  51   48  -69 
   0    0    0 
  -1  -37   23 
-102   75   69 
  10   46   28 
  40  -36   26 
 -37  -42  -56 
   2   69  -74 
 -77   96    0 
====================
TC =  2
   0    0    0 
  -8  -48   76 
 -31   -3  -15 
   0    0    0 
 -62   39   49 
